Наименование,Url_товара,Url_изображения,Категория,Полная цена,Цена соскидкой
Сыр Фета Sveza Савушкин 45% 200г Беларусь БЗМЖ,https://www.okeydostavka.ru/msk/skidki/bzmzh-syr-feta-sveza-savushkin-45-200g-belarus-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/915205/915205_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Сыры/Рассольные сыры","168,99","119,99"
"Молоко Parmalat ультрапастеризованное 3,5% 1л БЗМЖ",https://www.okeydostavka.ru/msk/bzmzh-moloko-utp-parmalat-3-5-1l,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/354660/354660_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Молоко и сливки","120,99","104,99"
"Свинина карбонад, кг",https://www.okeydostavka.ru/msk/svinina-karbonad-p-f-okhlazhdennyi-kg,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/527775/527775_thumbnail.jpg,Акции/Всегда свежие продукты,"479,00","329,99"
"Кабачки, кг",https://www.okeydostavka.ru/msk/skidki/kabachki-kg-18870-parent,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/18870/18870_thumbnail.jpg,Овощи и фрукты/Овощи,"119,99","99,99"
"Филе грудки индейки, кг",https://www.okeydostavka.ru/msk/file-grudki-indeiki-p-f-okhlazhdennyi-kg,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/18546/18546_thumbnail.jpg,Акции/Всегда свежие продукты,"569,00","449,99"
Молоко ультрапастеризованное Северная долина...,https://www.okeydostavka.ru/msk/skidki/bzmzh-moloko-utp-severnaia-dolina-3-2-950g-t-p,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/701644/701644_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Молоко и сливки","79,99","69,99"
"Грибы шампиньоны, 400г упак",https://www.okeydostavka.ru/msk/skidki/griby-shampin-ony-400g-upak,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/798583/798583_thumbnail.jpg,Овощи и фрукты/Овощи,"149,99","119,99"
"Молоко О`КЕЙ ультрапастеризованное 3,2% 975мл БЗМЖ",https://www.okeydostavka.ru/msk/skidki/bzmzh-moloko-utp-o-kei-3-2-975ml-tva-kryshka,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/851352/851352_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Молоко и сливки","99,99","79,99"
Редис 500г,https://www.okeydostavka.ru/msk/skidki/redis-500g-upak,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/234661/234661_thumbnail.jpg,Овощи и фрукты/Овощи,"119,99","99,99"
Масло сливочное Вкуснотеево Традиционное 200г...,https://www.okeydostavka.ru/msk/skidki/bzmzh-maslo-sliv-vkusnoteevo-tradits-200g-82-5-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/790973/790973_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Масло сливочное и маргарин","239,00","199,99"
Йогурт греческий Teos натуральный 2% 140г БЗМЖ,https://www.okeydostavka.ru/msk/skidki/bzmzh-iogurt-grecheskii-teos-natural-nyi-2-140g-p-st-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/783007/783007_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Йогурты и творожки","48,49","39,99"
Масло подсолнечное Altero Golden с добавлением...,https://www.okeydostavka.ru/msk/maslo-podsolnechnoe-altero-golden-s-dobavleniem-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/127857/127857_thumbnail.jpg,"Растительные масла, соусы и приправы/Масло растительное","155,99","109,99"
Вода Святой Источник питьевая негазированная 5л,https://www.okeydostavka.ru/msk/voda-sviatoi-istochnik-pit-ev-negaz-5-0l-pet,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/728294/728294_thumbnail.jpg,Горячие и холодные напитки/Вода,"129,99","109,99"
"Голень цыпленка Петелинка, кг",https://www.okeydostavka.ru/msk/skidki/golen-tsyplenka-okhlazhdennaia-petelinka-podlozhka-kg,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/439758/439758_thumbnail.jpg,Акции/Всегда свежие продукты,"374,00","299,99"
"Голень индейки О`КЕЙ Daily, кг",https://www.okeydostavka.ru/msk/skidki/golen-indeiki-okhlazhdennaia-tchn-okei-daily-kg,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/764036/764036_thumbnail.jpg,Акции/Мясные продукты,"249,99","219,99"
Корм влажный FELIX® для кошек с кроликом в желе...,https://www.okeydostavka.ru/msk/skidki/korm-vlazhnyi-felix-dlia-koshek-s-krolikom-v-zhele-75g-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/948970/948970_thumbnail.jpg,Товары для животных/Корм для кошек,"29,49","23,99"
Крупа гречневая Агро-Альянс Экстра элитная 900г,https://www.okeydostavka.ru/msk/skidki/krupa-grechnevaia-agro-al-ians-ekstra-elitnaia-900g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/144357/144357_thumbnail.jpg,Бакалея и консервы/Крупы и бобовые,"143,99","84,99"
"Бедро цыпленка О`КЕЙ Daily, кг",https://www.okeydostavka.ru/msk/skidki/bedro-tsyplenka-okhlazhdennoe-tchn-okei-daily-kg,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/750848/750848_thumbnail.jpg,Акции/Мясные продукты,"246,99","169,99"
Горошек Green Ray зеленый 425мл,https://www.okeydostavka.ru/msk/goroshek-zelenyi-green-ray-425ml,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/463092/463092_thumbnail.jpg,Бакалея и консервы/Консервы/Овощи и грибы консервированные,"109,99","79,99"
Голубика 125г,https://www.okeydostavka.ru/msk/skidki/golubika-125g-upak,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/233805/233805_thumbnail.jpg,Акции/Всегда свежие продукты,"189,99","129,99"
Туалетная бумага Papia Белая 3-слойная 8шт,https://www.okeydostavka.ru/msk/tualetnaia-bumaga-papia-belaia-3sl-8sht-816545-parent,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/816545/816545_thumbnail.jpg,Косметика и гигиена/Гигиенические и бумажные товары,"384,00","169,99"
Десерт Фрутоняня яблоко-банан-клубника с 7...,https://www.okeydostavka.ru/msk/skidki/desert-frutoniania-iabloko-banan-klubnika-s-7mes-90g-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/714912/714912_thumbnail.jpg,Детские товары и игрушки/Детское питание/Пюре детское,"59,99","42,99"
"Говядина лопатка без кости, кг",https://www.okeydostavka.ru/msk/skidki/goviadina-lopatka-bez-kosti-p-f-okhlazhdennyi-kg-8151-parent,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/8151/8151_thumbnail.jpg,Акции/Всегда свежие продукты,"829,00","699,99"
"Биойогурт Актибио Натуральный 3,5% 130г БЗМЖ",https://www.okeydostavka.ru/msk/skidki/bzmzh-bioiogurt-aktibio-natural-nyi-3-5-130g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/975272/975272_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Йогурты и творожки","47,99","34,99"
Сметана Простоквашино 10% 300г БЗМЖ,https://www.okeydostavka.ru/msk/skidki/bzmzh-smetana-prostokvashino-10-300g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/772610/772610_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Сметана","84,99","69,99"
Сельдерей стеблевой шт,https://www.okeydostavka.ru/msk/skidki/sel-derei-steblevoi-sht,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/696710/696710_thumbnail.jpg,Овощи и фрукты/Овощи,"139,99","99,99"
