__main__ 2024-06-21 15:51:42,994 DEBUG press ok cookie
__main__ 2024-06-21 15:51:53,578 DEBUG press delivery button
__main__ 2024-06-21 15:51:55,660 DEBUG insert address in form
__main__ 2024-06-21 15:51:55,760 DEBUG press enter
__main__ 2024-06-21 15:51:56,678 DEBUG press save delivery address
__main__ 2024-06-21 15:52:12,160 DEBUG find category
__main__ 2024-06-21 15:52:12,195 DEBUG find products cards
__main__ 2024-06-21 15:52:12,331 INFO products added to main list
__main__ 2024-06-21 15:52:13,251 INFO products added to main list
__main__ 2024-06-21 15:52:13,359 INFO products added to main list
__main__ 2024-06-21 15:52:13,473 INFO products added to main list
__main__ 2024-06-21 15:52:13,592 INFO products added to main list
__main__ 2024-06-21 15:52:13,728 INFO products added to main list
__main__ 2024-06-21 15:52:13,892 INFO products added to main list
__main__ 2024-06-21 15:52:13,999 INFO products added to main list
__main__ 2024-06-21 15:52:14,092 INFO products added to main list
__main__ 2024-06-21 15:52:14,193 INFO products added to main list
__main__ 2024-06-21 15:52:14,293 INFO products added to main list
__main__ 2024-06-21 15:52:14,389 INFO products added to main list
__main__ 2024-06-21 15:52:14,483 INFO products added to main list
__main__ 2024-06-21 15:52:14,578 INFO products added to main list
__main__ 2024-06-21 15:52:14,681 INFO products added to main list
__main__ 2024-06-21 15:52:14,776 INFO products added to main list
__main__ 2024-06-21 15:52:14,869 INFO products added to main list
__main__ 2024-06-21 15:52:14,960 INFO products added to main list
__main__ 2024-06-21 15:52:15,056 INFO products added to main list
__main__ 2024-06-21 15:52:15,171 INFO products added to main list
__main__ 2024-06-21 15:52:15,292 INFO products added to main list
__main__ 2024-06-21 15:52:15,387 INFO products added to main list
__main__ 2024-06-21 15:52:15,479 INFO products added to main list
__main__ 2024-06-21 15:52:15,575 INFO products added to main list
__main__ 2024-06-21 15:52:15,679 INFO products added to main list
__main__ 2024-06-21 15:52:15,773 INFO products added to main list
__main__ 2024-06-21 15:52:15,867 INFO products added to main list
__main__ 2024-06-21 15:52:15,961 INFO products added to main list
__main__ 2024-06-21 15:52:16,054 INFO products added to main list
__main__ 2024-06-21 15:52:16,163 INFO products added to main list
__main__ 2024-06-21 15:52:16,274 INFO products added to main list
__main__ 2024-06-21 15:52:16,367 INFO products added to main list
__main__ 2024-06-21 15:52:16,462 INFO products added to main list
__main__ 2024-06-21 15:52:16,555 INFO products added to main list
__main__ 2024-06-21 15:52:16,659 INFO products added to main list
__main__ 2024-06-21 15:52:16,758 INFO products added to main list
__main__ 2024-06-21 15:52:16,852 INFO products added to main list
__main__ 2024-06-21 15:52:16,943 INFO products added to main list
__main__ 2024-06-21 15:52:17,037 INFO products added to main list
__main__ 2024-06-21 15:52:17,130 INFO products added to main list
__main__ 2024-06-21 15:52:17,237 INFO products added to main list
